#1
double PVProduction( 35041, 2 ) # Time [s]; PVout [kW]
813600;9.413
814500;9.113
815400;9.81
816300;10.125
817200;11.22
818100;11.573
819000;10.493
819900;11.543
820800;10.763
821700;9.3
822600;10.26
823500;10.89
824400;10.905
825300;11.348
826200;9.855
827100;8.618
828000;7.14
828900;5.085
829800;4.635
830700;2.73
831600;1.883
832500;1.59
833400;1.26
834300;1.118
835200;0.983
836100;0.608
837000;0.135
837900;0
838800;0
839700;0
840600;0
841500;0
842400;0
843300;0
844200;0
845100;0
846000;0
846900;0
847800;0
848700;0
849600;0
850500;0
851400;0
852300;0
853200;0
854100;0
855000;0
855900;0
856800;0
857700;0
858600;0
859500;0
860400;0
861300;0
862200;0
863100;0
864000;0
864900;0
865800;0
866700;0
867600;0
868500;0
869400;0
870300;0
871200;0
872100;0
873000;0
873900;0
874800;0
875700;0
876600;0
877500;0
878400;0
879300;0
880200;0
881100;0
882000;0
882900;0
883800;0
884700;0
885600;0
886500;0
887400;0
888300;0
889200;0
890100;0
891000;0
891900;0
892800;0
893700;0.015
894600;0.255
895500;0.585
896400;0.638
897300;1.118
898200;1.073
899100;1.448
900000;0.893
900900;0.96
901800;0.825
902700;1.418
903600;3.42
904500;3.855
905400;3.533
906300;4.418
907200;3.428
908100;7.065
909000;9.503
909900;8.363
910800;16.155
911700;16.89
912600;15.188
913500;11.7
914400;10.95
915300;6.66
916200;4.575
917100;2.925
918000;1.935
918900;1.073
919800;1.32
920700;0.66
921600;0.135
922500;0
923400;0
924300;0
925200;0
926100;0
927000;0
927900;0
928800;0
929700;0
930600;0
931500;0
932400;0
933300;0
934200;0
935100;0
936000;0
936900;0
937800;0
938700;0
939600;0
940500;0
941400;0
942300;0
943200;0
944100;0
945000;0
945900;0
946800;0
947700;0
948600;0
949500;0
950400;0
951300;0
952200;0
953100;0
954000;0
954900;0
955800;0
956700;0
957600;0
958500;0
959400;0
960300;0
961200;0
962100;0
963000;0
963900;0
964800;0
965700;0
966600;0
967500;0
968400;0
969300;0
970200;0
971100;0
972000;0
972900;0
973800;0
974700;0
975600;0
976500;0
977400;0
978300;0
979200;0.045
980100;0.24
981000;0.488
981900;0.743
982800;1.178
983700;1.658
984600;2.52
985500;3.503
986400;3.78
987300;5.52
988200;5.648
989100;6.63
990000;5.88
990900;7.08
991800;9.023
992700;10.808
993600;9.743
994500;9.263
995400;10.665
996300;13.763
997200;12.795
998100;14.805
999000;11.895
999900;11.31
1000800;10.965
1001700;8.64
1002600;6.503
1003500;5.61
1004400;4.343
1005300;2.655
1006200;1.778
1007100;1.14
1008000;0.893
1008900;0.435
1009800;0.083
1010700;0
1011600;0
1012500;0
1013400;0
1014300;0
1015200;0
1016100;0
1017000;0
1017900;0
1018800;0
1019700;0
1020600;0
1021500;0
1022400;0
1023300;0
1024200;0
1025100;0
1026000;0
1026900;0
1027800;0
1028700;0
1029600;0
1030500;0
1031400;0
1032300;0
1033200;0
1034100;0
1035000;0
1035900;0
1036800;0
1037700;0
1038600;0
1039500;0
1040400;0
1041300;0
1042200;0
1043100;0
1044000;0
1044900;0
1045800;0
1046700;0
1047600;0
1048500;0
1049400;0
1050300;0
1051200;0
1052100;0
1053000;0
1053900;0
1054800;0
1055700;0
1056600;0
1057500;0
1058400;0
1059300;0
1060200;0
1061100;0
1062000;0
1062900;0
1063800;0
1064700;0
1065600;0.105
1066500;0.3
1067400;0.435
1068300;0.593
1069200;0.788
1070100;1.05
1071000;4.35
1071900;6.03
1072800;6.135
1073700;6.525
1074600;9.93
1075500;10.935
1076400;11.948
1077300;12.69
1078200;13.118
1079100;13.665
1080000;14.04
1080900;14.453
1081800;14.88
1082700;14.978
1083600;14.753
1084500;14.355
1085400;13.83
1086300;12.983
1087200;10.973
1088100;8.595
1089000;6.315
1089900;4.71
1090800;3.668
1091700;3.24
1092600;2.43
1093500;0.99
1094400;0.525
1095300;0.443
1096200;0.285
1097100;0.015
1098000;0
1098900;0
1099800;0
1100700;0
1101600;0
1102500;0
1103400;0
1104300;0
1105200;0
1106100;0
1107000;0
1107900;0
1108800;0
1109700;0
1110600;0
1111500;0
1112400;0
1113300;0
1114200;0
1115100;0
1116000;0
1116900;0
1117800;0
1118700;0
1119600;0
1120500;0
1121400;0
1122300;0
1123200;0
1124100;0
1125000;0
1125900;0
1126800;0
1127700;0
1128600;0
1129500;0
1130400;0
1131300;0
1132200;0
1133100;0
1134000;0
1134900;0
1135800;0
1136700;0
1137600;0
1138500;0
1139400;0
1140300;0
1141200;0
1142100;0
1143000;0
1143900;0
1144800;0
1145700;0
1146600;0
1147500;0
1148400;0
1149300;0
1150200;0
1151100;0
1152000;0
1152900;0.308
1153800;0.998
1154700;0.938
1155600;1.598
1156500;1.8
1157400;2.378
1158300;2.865
1159200;3.683
1160100;4.853
1161000;6.638
1161900;10.508
1162800;12.818
1163700;8.82
1164600;8.483
1165500;8.903
1166400;5.243
1167300;8.565
1168200;11.168
1169100;12.068
1170000;7.028
1170900;4.493
1171800;3.683
1172700;3.225
1173600;1.695
1174500;1.725
1175400;1.005
1176300;0.173
1177200;0.03
1178100;0.098
1179000;0.21
1179900;0.15
1180800;0.368
1181700;0.683
1182600;0.248
1183500;0
1184400;0
1185300;0
1186200;0
1187100;0
1188000;0
1188900;0
1189800;0
1190700;0
1191600;0
1192500;0
1193400;0
1194300;0
1195200;0
1196100;0
1197000;0
1197900;0
1198800;0
1199700;0
1200600;0
1201500;0
1202400;0
1203300;0
1204200;0
1205100;0
1206000;0
1206900;0
1207800;0
1208700;0
1209600;0
1210500;0
1211400;0
1212300;0
1213200;0
1214100;0
1215000;0
1215900;0
1216800;0
1217700;0
1218600;0
1219500;0
1220400;0
1221300;0
1222200;0
1223100;0
1224000;0
1224900;0
1225800;0
1226700;0
1227600;0
1228500;0
1229400;0
1230300;0
1231200;0
1232100;0
1233000;0
1233900;0
1234800;0
1235700;0
1236600;0
1237500;0
1238400;0.015
1239300;0.135
1240200;0.36
1241100;0.57
1242000;1.628
1242900;1.538
1243800;2.43
1244700;3.563
1245600;6.023
1246500;4.598
1247400;9.24
1248300;9.398
1249200;10.943
1250100;4.89
1251000;4.11
1251900;4.388
1252800;6.353
1253700;6.503
1254600;8.625
1255500;9.923
1256400;13.5
1257300;8.693
1258200;4.823
1259100;4.103
1260000;4.898
1260900;6.195
1261800;5.003
1262700;4.995
1263600;6.735
1264500;5.205
1265400;4.095
1266300;2.543
1267200;1.275
1268100;0.885
1269000;0.39
1269900;0.038
1270800;0
1271700;0
1272600;0
1273500;0
1274400;0
1275300;0
1276200;0
1277100;0
1278000;0
1278900;0
1279800;0
1280700;0
1281600;0
1282500;0
1283400;0
1284300;0
1285200;0
1286100;0
1287000;0
1287900;0
1288800;0
1289700;0
1290600;0
1291500;0
1292400;0
1293300;0
1294200;0
1295100;0
1296000;0
1296900;0
1297800;0
1298700;0
1299600;0
1300500;0
1301400;0
1302300;0
1303200;0
1304100;0
1305000;0
1305900;0
1306800;0
1307700;0
1308600;0
1309500;0
1310400;0
1311300;0
1312200;0
1313100;0
1314000;0
1314900;0
1315800;0
1316700;0
1317600;0
1318500;0
1319400;0
1320300;0
1321200;0
1322100;0
1323000;0
1323900;0
1324800;0.12
1325700;0.405
1326600;0.683
1327500;0.915
1328400;1.073
1329300;1.538
1330200;2.873
1331100;5.303
1332000;6.083
